row ID,row m/z,row retention time,row comment,row number of detected peaks,All identity elements,ID,Identification method,Molecular formula,Name,M,M,M,M,M,N,N,N,N,N,S,S,S,S,S
1578,365.3426454,4.44494375,,1,,FA (24:1) [M-H]- (nervonic acid),Lipid Database_NEG Updated Method_1.0.csv,,,0,1109.307739,0,1839.716064,0,1175.730225,0,3993.168213,1355.221802,1274.815063,0,803.4533081,0,1134.681641,0
402,395.3894572,5.934737778,,15,,FA (26:0) [M-H]- (cerotic acid),Lipid Database_NEG Updated Method_1.0.csv,,,8194.507813,5372.46582,5264.294922,9967.604492,4450.514648,4175.208008,4738.305176,5271.740234,8232.318359,6639.164063,5467.570313,4944.351563,5758.398926,4195.814453,4897.364258
1936,423.4209696,6.721312222,,1,,FA (28:0) [M-H]- (montanic acid),Lipid Database_NEG Updated Method_1.0.csv,,,1707.553833,1753.599976,1863.322021,2816.013916,1364.382935,1366.584351,1416.804565,1277.2854,2494.394531,1992.267456,1494.801392,1413.21167,1992.845703,1374.351807,1436.573975
894,143.1086027,0.540637879,,4,,FA (8:0) [M-H]- (caprylic acid ),Lipid Database_NEG Updated Method_1.0.csv,,,0,5997.381836,253.2562561,5851.806641,0,2697.014648,8460.635742,0,3637.740967,2321.781982,1628.206787,7875.524902,1514.671631,690.2577515,0
1596,818.6275955,7.068761111,,1,,GlcCer (d40:1) [M+Cl]-,Lipid Database_NEG Updated Method_1.0.csv,,,0,1081.395874,0,1537.44812,1408.995483,1272.024292,736.0178833,3480.523682,1476.291504,1761.191162,1091.306274,793.6021118,0,901.7067871,708.2000122
1560,846.6596733,7.703045833,,1,,GlcCer (d42:1) [M+Cl]-,Lipid Database_NEG Updated Method_1.0.csv,,,0,1546.163574,0,2472.963623,1837.438599,1516.574707,1156.657104,4552.025879,2067.234619,1888.56958,1586.720215,1367.014648,0,1105.885986,1246.06665
928,750.5315397,4.857740278,,10,,GlcCer(d14:1(4E)/20:0(2OH)) [M+Cl]-,Lipid Database_NEG Updated Method_1.0.csv,,,0,7633.156738,0,9147.451172,7098.271973,6640.488281,5795.538574,9683.591797,7636.892578,9193.243164,8096.344238,3689.723145,0,4686.04248,2910.47998
1529,554.3466856,1.534130952,,1,,LPC (16:0) [M+HAc-H]-,Lipid Database_NEG Updated Method_1.0.csv,,,0,1092.711426,372.1315002,7615.634277,1219.315796,994.8678589,513.5693359,6972.994629,1495.372925,721.128418,1692.730225,758.2370605,496.9605713,639.6607056,896.6538696
374,554.3471535,1.828328889,,13,,LPC (16:0) [M+HAc-H]-,Lipid Database_NEG Updated Method_1.0.csv,,,3243.200195,7032.446777,6041.45752,7615.634277,7118.997559,6528.406738,6905.387695,7824.076172,6868.248047,8296.135742,6965.025391,6757.304199,6721.50293,8072.499512,6942.040039
1538,582.3780674,2.236437879,,1,,LPC (18:0) [M+HAc-H]- A,Lipid Database_NEG Updated Method_1.0.csv,,,0,1199.337891,0,1298.169067,1095.705566,1023.668579,348.4925232,6304.570801,1017.296814,583.0036621,1217.887695,401.5734253,0,0,793.5343628
220,792.5766357,5.498068889,,15,,PC (32:0) [M+HAc-H]-,Lipid Database_NEG Updated Method_1.0.csv,,,42973.57422,128366.9531,12383.21973,316231.8125,112252.1953,159561.7969,112758.8516,300501.3438,159443.25,203802.3281,129652.25,101984.5859,32685.45313,105857.9141,94879.60938
